experiment_level,device,lr,epochs,batch_size,dataset,save_logs,hidden_dim,num_layers,is_logical,l_factor,decision_tree,constrains_handler,test_rate,true_positive,true_negative,false_positive,false_negative,recall,specificity,precision,balanced_accuracy,FPR,ROC_AUC,decision_boundary,model,train_loop,dt_max_depth,dt_attribute_list,model_variant,constrains_type
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLDistanceBasedHandler,0.7721706441875036,13490,67,76,3924,0.7746640633968217,0.4685314684987041,0.9943977591029084,0.621597765947763,0.5314685314313659,0.6715633912429594,0.0005336586036719,NodeOCGINLossConstrains,train_node_ocgin_supression,3.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLFuzzyBasedHandler,0.92652503275047,16133,134,9,1281,0.9264384977598906,0.9370629369974082,0.9994424482709704,0.9317507173786496,0.0629370629326617,0.9217302451768972,0.25270476937294,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLDistanceBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,0.5000033974647522,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLFuzzyBasedHandler,0.8717320726775645,15179,126,17,2235,0.8716549902372391,0.8811188810572643,0.998881284547908,0.8763869356472518,0.1188811188728055,0.7797841299621476,0.0169236995279788,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLDistanceBasedHandler,0.9241897818533918,16150,76,67,1264,0.9274147237849274,0.5314685314313659,0.99586853302029,0.7294416276081466,0.4685314684987041,0.6870127403319088,0.0003750917094293,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLFuzzyBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,0.0003697144857142,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLDistanceBasedHandler,0.3097340092270889,5297,141,2,12117,0.3041805443893969,0.986013985945034,0.999622570294396,0.6450972651672154,0.0139860139850359,0.5335480816415696,4.024511923717e-08,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLFuzzyBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,1.406704086548416e-06,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLDistanceBasedHandler,0.9853619638890472,17210,90,53,204,0.9882852876989844,0.6293706293266174,0.9969298499675624,0.8088279585128009,0.3706293706034524,0.8237687143452619,0.0009858111152425,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLFuzzyBasedHandler,0.0169163296690778,156,141,2,17258,0.0089583094062197,0.986013985945034,0.9873417720894088,0.4974861476756269,0.0139860139850359,0.4971683020092345,7.476289738406194e-06,NodeOCGINLossConstrains,train_node_ocgin_supression,4.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLDistanceBasedHandler,0.9913424844791252,17357,48,95,57,0.9967267715625376,0.3356643356408626,0.9945564978220292,0.6661955536017001,0.6643356642892072,0.6628889945474303,0.0009133029379881,NodeOCGINLossConstrains,train_node_ocgin_supression,4.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLFuzzyBasedHandler,0.973799624081563,17092,5,138,322,0.9815091305840234,0.0349650349625898,0.9919907138705792,0.5082370827733067,0.96503496496748,0.1689019605638418,0.2349832206964492,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLDistanceBasedHandler,0.8870535968559549,15465,109,34,1949,0.8880785574819753,0.7622377621844588,0.9978063100838778,0.825158159833217,0.237762237745611,0.8178372678200403,0.5399810671806335,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLFuzzyBasedHandler,0.2637124793529646,4513,117,26,12901,0.2591592971171131,0.8181818181246027,0.9942718660476002,0.5386705576208579,0.1818181818054672,0.3190128752607218,1.1860950053232957e-06,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLDistanceBasedHandler,0.0084296861650623,5,143,0,17409,0.0002871253014814,0.9999999999300698,0.999999998,0.5001435626157756,0.0,0.4992247616859998,0.001495337113738,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
